Label,IPLength,IPHeaderLength,IPFlags,TTL,Protocol,IPID,IPchecksum,SourcePort,DestPort,SequenceNumber,AckNumber,WindowSize,TCPHeaderLength,TCPflags,TCPLength,TCPChecksum,TCPStream,TCPUrgentPointer
filtered_pcap\TCP_Assistant,281,20,0x02,64,6,0xe0e0,0x9e5d,36171,443,1,1,1597,20,0x0018,241,0xc650,0,0
filtered_pcap\TCP_Assistant,40,20,0x02,64,6,0xe0e1,0x9f4d,36171,443,242,93,1597,20,0x0010,0,0xd2b2,0,0
filtered_pcap\TCP_Assistant,52,20,0x02,64,6,0x5aee,0xa23f,45990,443,1,1,406,32,0x0010,0,0x2147,1,0
filtered_pcap\TCP_Assistant,121,20,0x02,64,6,0x8539,0x4150,36836,443,1,1,406,32,0x0018,69,0xb3dc,2,0
filtered_pcap\TCP_Assistant,90,20,0x02,64,6,0x853a,0x416e,36836,443,70,1,406,32,0x0018,38,0x450f,2,0
filtered_pcap\TCP_Assistant,52,20,0x02,64,6,0x853b,0x4193,36836,443,108,79,406,32,0x0010,0,0x5f72,2,0
filtered_pcap\TCP_Assistant,52,20,0x02,64,6,0x853c,0x4192,36836,443,108,117,406,32,0x0010,0,0x5f4b,2,0
filtered_pcap\TCP_Assistant,86,20,0x02,64,6,0x853d,0x416f,36836,443,108,117,406,32,0x0018,34,0x9e2f,2,0
filtered_pcap\TCP_Assistant,90,20,0x02,64,6,0x853e,0x416a,36836,443,142,117,406,32,0x0018,38,0x8836,2,0
filtered_pcap\TCP_Assistant,78,20,0x02,64,6,0x6001,0xa64c,56034,443,1,1,406,32,0x0018,26,0xfd89,3,0
filtered_pcap\TCP_Assistant,52,20,0x02,64,6,0x6002,0xa665,56034,443,27,27,406,32,0x0010,0,0x9243,3,0
filtered_pcap\TCP_Assistant,86,20,0x02,64,6,0x0aca,0x542d,36230,443,1,1,1597,20,0x0018,46,0x37f9,4,0
filtered_pcap\TCP_Assistant,85,20,0x02,64,6,0xda5e,0xd589,55637,443,1,1,8202,32,0x0018,33,0x5735,5,0
filtered_pcap\TCP_Assistant,52,20,0x02,64,6,0xda5f,0xd5a9,55637,443,34,32,8202,32,0x0010,0,0x239e,5,0
filtered_pcap\TCP_Assistant,52,20,0x02,64,6,0x7361,0x5362,60429,443,1,1,279,32,0x0010,0,0x485f,6,0
filtered_pcap\TCP_Assistant,52,20,0x02,64,6,0xdb68,0xea80,42208,443,1,1,296,32,0x0010,0,0xf3e7,7,0
filtered_pcap\TCP_Assistant,77,20,0x02,64,6,0x5aef,0xa225,45990,443,2,1,406,32,0x0018,25,0x852b,1,0
filtered_pcap\TCP_Assistant,52,20,0x02,64,6,0x5af0,0xa23d,45990,443,27,26,406,32,0x0010,0,0xf094,1,0
filtered_pcap\TCP_Assistant,52,20,0x02,64,6,0xae45,0x5039,36784,443,1,1,245,32,0x0010,0,0xd161,8,0
filtered_pcap\TCP_Assistant,52,20,0x02,64,6,0x9b1b,0x2c04,41409,443,1,1,406,32,0x0010,0,0x485b,9,0
